m: max=109498928.60580973, mean=13043755.90931992
I: max=12567710.307996565, mean=2178605.3767600753
c_d: max=2174084.3558207033, mean=1182600.6645041422
c_r: max=2567336.197152796, mean=1176103.577085977
R_s: max=1116749.5084419628, mean=1099482.6442255457
L_ds: max=109775168.79561512, mean=13367837.109092701
L_qs: max=76174729.82688719, mean=9861251.77026108
lambda_f: max=786044419.7992065, mean=56822010.86944671
p_pairs: max=3266369.0767177166, mean=1385808.2821651415
G: max=785798452.9027131, mean=56823900.94423952
r_w: max=785798452.9027116, mean=56823900.94423945
eta_g: max=792201032.4562712, mean=54388234.23540338
K_p_i: max=13147837.92573555, mean=2289083.875232467
K_i_i: max=109167909.74265909, mean=13050487.079664322
K_p_v: max=36394107.10381646, mean=3383137.775913784
K_i_v: max=75930465.73450482, mean=9819661.322143685
K_p_theta: max=14656101.856650406, mean=2408121.341408452
K_d_theta: max=5053941.344099714, mean=1393834.2463129093
v_w: max=1097799.241739764, mean=1097357.3027618763
psi: max=1099111.3746107358, mean=1098440.8501727642
c_wx: max=1102387.3664615718, mean=1099214.2416086774
c_wy: max=1097752.0140342386, mean=1097752.0140342386
